
# = Clock number (1-4)
T = Clock Type; 1 = Rubidium, 2 = Cesium
times are in seconds since Unix Epoch (1/1/1970 00:00:00)

SVN #/T PRN Start_Time - Stop_Time   => Clk_Turn-on
 019 1/1 19  782352000 -  788745600  =>  782352000
 019 2/1 19  788745600 -  938044800  =>  788745600
 019 3/2 19  938044800 -  984700800  =>  938044800
 059 3/1 19 1080086400 - 99999999999  => 1080086400
 020 3/2 20  639619200 -  776131200  =>  639619200
 020 2/1 20  776131200 -  821664000  =>  776131200
 020 4/2 20  821664000 -  832636800  =>  821664000
 051 1/1 20  958521600 - 99999999999  =>  958521600
 021 3/2 21  650592000 -  844646400  =>  650592000
 021 4/2 21  844646400 - 1032912000  =>  844646400
 045 3/1 21 1049414400 - 99999999999  => 1049414400
 022 3/2 22  729648000 -  732412800  =>  729648000
 022 4/2 22  732412800 -  907718400  =>  732412800
 022 1/1 22  907718400 -  996278400  =>  907718400
 022 2/1 22  996278400 - 1036713600  =>  996278400
 022 3/2 22 1036713600 - 1039564800  => 1036713600
 022 4/2 22 1039564800 - 1066348800  => 1039564800
 047 3/1 22 1072224000 - 99999999999  => 1072224000
 023 3/2 23  659577600 -  662947200  =>  659577600
 023 4/2 23  662947200 - 1068681600  =>  662947200
 023 1/1 23 1068681600 - 1072915200  => 1068681600
 023 2/1 23 1072915200 - 1076018400  => 1072915200
 060 2/1 23 1088380800 - 99999999999  => 1088380800
 024 3/2 24  678585600 -  759369600  =>  678585600
 024 1/1 24  759369600 -  804556800  =>  759369600
 024 2/1 24  804556800 -  968284800  =>  804556800
 024 4/2 24  968284800 - 1317393420  =>  968284800
 049 2/1 24 1328119200 - 1331654400  => 1328119200
 032 3/2 24 1331763300 - 1335369600  =>  840412800
 037 2/1 24 1335373200 - 1338406200  => 1187654400
 065 3/2 24 1343606400 - 1343952000  => 1343606400
 049 2/1 24 1344535200 - 1346868000  => 1238112000
 065 3/2 24 1349568000 - 99999999999  => 1349568000
 025 2/1 25  698803200 -  754704000  =>  698803200
 025 4/2 25  754704000 -  789609600  =>  754704000
 025 3/2 25  789609600 - 1135468800  =>  789609600
