theta (deg),directivity (dB)
0.000000,14.580000
2.000000,14.468333
4.000000,14.176111
6.000000,13.814722
8.000000,13.511389
10.000000,13.318056
12.000000,13.171944
14.000000,12.941389
16.000000,12.473333
18.000000,11.634167
20.000000,10.304444
22.000000,8.346944
24.000000,5.570278
26.000000,1.622500
28.000000,-4.333889
30.000000,-10.480556
32.000000,-8.915833
34.000000,-5.856667
36.000000,-4.197222
38.000000,-3.536528
40.000000,-3.736944
42.000000,-2.328611
44.000000,-1.348889
46.000000,-0.735278
48.000000,-0.528611
50.000000,-0.703333
52.000000,-1.209722
54.000000,-2.062222
56.000000,-3.062222
58.000000,-3.660833
60.000000,-4.198611
62.000000,-4.772500
64.000000,-5.225833
66.000000,-5.665278
68.000000,-6.270833
70.000000,-7.036667
72.000000,-7.662500
74.000000,-8.163889
76.000000,-8.907778
78.000000,-9.340000
80.000000,-9.997778
82.000000,-11.292778
84.000000,-12.230833
86.000000,-12.033056
88.000000,-12.885556
90.000000,-13.986111
