theta (deg),directivity (dB)
0.000000,13.490000
2.000000,13.317856
4.000000,13.085100
6.000000,13.362814
8.000000,14.156647
10.000000,14.846618
12.000000,14.934515
14.000000,14.204417
16.000000,12.562316
18.000000,9.931954
20.000000,6.227929
22.000000,1.616292
24.000000,-2.016739
26.000000,-2.425724
28.000000,-2.267477
30.000000,-2.753265
32.000000,-3.233329
34.000000,-3.220114
36.000000,-3.181613
38.000000,-3.553154
40.000000,-4.202397
42.000000,-4.790642
44.000000,-5.220817
46.000000,-5.509653
48.000000,-5.570772
50.000000,-5.437110
52.000000,-5.425247
54.000000,-5.883578
56.000000,-6.967068
58.000000,-8.531797
60.000000,-9.890104
62.000000,-10.227448
64.000000,-9.872956
66.000000,-9.725611
68.000000,-10.179489
70.000000,-11.195276
72.000000,-12.481640
74.000000,-13.563963
76.000000,-14.123058
78.000000,-14.341467
80.000000,-14.607883
82.000000,-15.158211
84.000000,-16.062910
86.000000,-17.285615
88.000000,-18.630376
90.000000,-19.701392
