theta (deg),gain (dBi)
0.000000,13.960000
2.000000,13.806450
4.000000,13.456624
6.000000,13.173431
8.000000,13.221308
10.000000,13.569751
12.000000,13.913527
14.000000,13.952131
16.000000,13.493948
18.000000,12.436610
20.000000,10.701605
22.000000,8.222367
24.000000,4.962097
26.000000,1.107215
28.000000,-2.389911
30.000000,-4.192885
32.000000,-4.960847
34.000000,-5.892540
36.000000,-7.268901
38.000000,-9.020592
40.000000,-10.997659
42.000000,-12.690285
44.000000,-13.130410
46.000000,-12.192779
48.000000,-10.905001
50.000000,-9.944556
52.000000,-9.488012
54.000000,-9.522382
56.000000,-9.929004
58.000000,-10.438977
60.000000,-10.616015
62.000000,-10.208830
64.000000,-9.460786
66.000000,-8.749151
68.000000,-8.274714
70.000000,-8.090730
72.000000,-8.215105
74.000000,-8.660560
76.000000,-9.423670
78.000000,-10.481858
80.000000,-11.755809
82.000000,-13.069639
84.000000,-14.113446
86.000000,-14.624368
88.000000,-14.636978
90.000000,-14.410261
