theta (deg),gain (dBi)
0.000000,13.730000
2.000000,13.564331
4.000000,13.323967
6.000000,13.550313
8.000000,14.279891
10.000000,14.932797
12.000000,15.012498
14.000000,14.283040
16.000000,12.642276
18.000000,10.001030
20.000000,6.270407
22.000000,1.583766
24.000000,-2.141909
26.000000,-2.523269
28.000000,-2.333380
30.000000,-2.808304
32.000000,-3.298134
34.000000,-3.322725
36.000000,-3.346493
38.000000,-3.777133
40.000000,-4.451979
42.000000,-5.002993
44.000000,-5.334049
46.000000,-5.484125
48.000000,-5.375739
50.000000,-5.080199
52.000000,-4.948798
54.000000,-5.330636
56.000000,-6.371337
58.000000,-7.936206
60.000000,-9.420201
62.000000,-9.994123
64.000000,-9.805942
66.000000,-9.701470
68.000000,-10.122158
70.000000,-11.045979
72.000000,-12.185680
74.000000,-13.160258
76.000000,-13.775532
78.000000,-14.131496
80.000000,-14.459187
82.000000,-14.961590
84.000000,-15.754667
86.000000,-16.859361
88.000000,-18.175271
90.000000,-19.383821
