theta (deg),directivity (dB)
0.000000,13.710000
2.000000,13.546491
4.000000,13.304628
6.000000,13.518240
8.000000,14.230115
10.000000,14.870528
12.000000,14.933374
14.000000,14.182415
16.000000,12.513925
18.000000,9.846905
20.000000,6.097849
22.000000,1.443430
24.000000,-2.133055
26.000000,-2.468349
28.000000,-2.347511
30.000000,-2.861165
32.000000,-3.301838
34.000000,-3.264288
36.000000,-3.271659
38.000000,-3.685452
40.000000,-4.326751
42.000000,-4.897007
44.000000,-5.350355
46.000000,-5.673556
48.000000,-5.727218
50.000000,-5.545011
52.000000,-5.507876
54.000000,-5.990631
56.000000,-7.113806
58.000000,-8.667972
60.000000,-9.976572
62.000000,-10.339917
64.000000,-10.078457
66.000000,-9.981882
68.000000,-10.421747
70.000000,-11.373714
72.000000,-12.578958
74.000000,-13.653286
76.000000,-14.288738
78.000000,-14.523930
80.000000,-14.688685
82.000000,-15.063546
84.000000,-15.732459
86.000000,-16.669893
88.000000,-17.755053
90.000000,-18.700286
