theta (deg),gain (dBi)
0.000000,13.520000
2.000000,13.412997
4.000000,13.137230
6.000000,12.818586
8.000000,12.579470
10.000000,12.436285
12.000000,12.299375
14.000000,12.034242
16.000000,11.515263
18.000000,10.636121
20.000000,9.294538
22.000000,7.368973
24.000000,4.703770
26.000000,1.068885
28.000000,-3.720238
30.000000,-7.897079
32.000000,-6.846513
34.000000,-4.646380
36.000000,-3.334649
38.000000,-2.633807
40.000000,-2.184835
42.000000,-1.777263
44.000000,-1.386613
46.000000,-1.106860
48.000000,-1.025842
50.000000,-1.180185
52.000000,-1.544585
54.000000,-2.063557
56.000000,-2.659761
58.000000,-3.255578
60.000000,-3.796249
62.000000,-4.273365
64.000000,-4.735362
66.000000,-5.246371
68.000000,-5.788734
70.000000,-6.249463
72.000000,-6.551833
74.000000,-6.801514
76.000000,-7.153263
78.000000,-7.606941
80.000000,-8.062507
82.000000,-8.544631
84.000000,-9.204248
86.000000,-10.076422
88.000000,-10.957359
90.000000,-11.592119
