theta (deg),gain (dBi)
0.000000,14.060000
2.000000,13.923634
4.000000,13.587975
6.000000,13.296009
8.000000,13.283818
10.000000,13.548843
12.000000,13.829757
14.000000,13.838274
16.000000,13.386063
18.000000,12.358254
20.000000,10.666457
22.000000,8.238954
24.000000,5.026043
26.000000,1.210750
28.000000,-2.232669
30.000000,-3.935920
32.000000,-4.631862
34.000000,-5.570973
36.000000,-7.035471
38.000000,-8.909498
40.000000,-10.934297
42.000000,-12.531088
44.000000,-12.849338
46.000000,-11.931067
48.000000,-10.715144
50.000000,-9.795250
52.000000,-9.336058
54.000000,-9.326726
56.000000,-9.677036
58.000000,-10.160348
60.000000,-10.372702
62.000000,-10.016400
64.000000,-9.259463
66.000000,-8.478674
68.000000,-7.902618
70.000000,-7.616124
72.000000,-7.656024
74.000000,-8.040286
76.000000,-8.768483
78.000000,-9.807288
80.000000,-11.067160
82.000000,-12.381072
84.000000,-13.485084
86.000000,-14.136685
88.000000,-14.319473
90.000000,-14.212524
