theta (deg),directivity (dB)
0.000000,10.970000
2.000000,11.340284
4.000000,12.339899
6.000000,13.594283
8.000000,14.636631
10.000000,15.121175
12.000000,14.833195
14.000000,13.607638
16.000000,11.233537
18.000000,7.307683
20.000000,0.738336
22.000000,-8.244807
24.000000,-2.269261
26.000000,0.762376
28.000000,1.598012
30.000000,1.404688
32.000000,0.702582
34.000000,-0.245968
36.000000,-1.337561
38.000000,-2.538172
40.000000,-3.740231
42.000000,-4.651148
44.000000,-4.831529
46.000000,-4.027304
48.000000,-2.677358
50.000000,-1.489001
52.000000,-0.839380
54.000000,-0.782867
56.000000,-1.206522
58.000000,-1.936079
60.000000,-2.821700
62.000000,-3.798544
64.000000,-4.873568
66.000000,-6.016625
68.000000,-7.127892
70.000000,-8.174890
72.000000,-9.266031
74.000000,-10.489798
76.000000,-11.805283
78.000000,-13.131235
80.000000,-14.396474
82.000000,-15.386175
84.000000,-15.948776
86.000000,-16.219149
88.000000,-16.247196
90.000000,-16.085926
