theta (deg),directivity (dB)
0.000000,14.850000
2.000000,14.681944
4.000000,14.440000
6.000000,14.675556
8.000000,15.430833
10.000000,16.111944
12.000000,16.211667
14.000000,15.495278
16.000000,13.861944
18.000000,11.226944
20.000000,7.491111
22.000000,2.786667
24.000000,-0.953611
26.000000,-2.315556
28.000000,-3.701111
30.000000,-4.591389
32.000000,-3.320556
34.000000,-3.352222
36.000000,-4.149722
38.000000,-4.689444
40.000000,-4.938611
42.000000,-5.147500
44.000000,-5.475000
46.000000,-6.226667
48.000000,-7.740000
50.000000,-7.922222
52.000000,-8.183056
54.000000,-8.747500
56.000000,-10.795278
58.000000,-12.071389
60.000000,-12.330000
62.000000,-11.539722
64.000000,-11.435000
66.000000,-11.757778
68.000000,-12.405278
70.000000,-13.546944
72.000000,-15.540000
74.000000,-14.764167
76.000000,-14.288333
78.000000,-14.829722
80.000000,-14.194167
82.000000,-14.474167
84.000000,-15.416389
86.000000,-16.668611
88.000000,-18.295556
90.000000,-20.010833
