theta (deg),directivity (dB)
0.000000,11.850000
2.000000,12.124562
4.000000,12.914453
6.000000,13.981132
8.000000,14.921075
10.000000,15.365650
12.000000,15.066108
14.000000,13.831293
16.000000,11.435512
18.000000,7.453649
20.000000,0.745102
22.000000,-8.305680
24.000000,-2.047065
26.000000,0.929818
28.000000,1.767740
30.000000,1.637428
32.000000,1.039829
34.000000,0.216156
36.000000,-0.763022
38.000000,-1.887999
40.000000,-3.078768
42.000000,-4.013418
44.000000,-4.140882
46.000000,-3.246865
48.000000,-1.897271
50.000000,-0.782769
52.000000,-0.213483
54.000000,-0.218583
56.000000,-0.680140
58.000000,-1.433566
60.000000,-2.344820
62.000000,-3.339546
64.000000,-4.374569
66.000000,-5.402060
68.000000,-6.400454
70.000000,-7.440380
72.000000,-8.625404
74.000000,-9.983739
76.000000,-11.390873
78.000000,-12.666991
80.000000,-13.741334
82.000000,-14.549926
84.000000,-14.977805
86.000000,-15.094378
88.000000,-15.064028
90.000000,-14.995598
