theta (deg),directivity (dB)
0.000000,13.540000
2.000000,13.377536
4.000000,13.150786
6.000000,13.403515
8.000000,14.166567
10.000000,14.847579
12.000000,14.942332
14.000000,14.217055
16.000000,12.564546
18.000000,9.902313
20.000000,6.145942
22.000000,1.467266
24.000000,-2.204885
26.000000,-2.665497
28.000000,-2.570081
30.000000,-3.040470
32.000000,-3.404665
34.000000,-3.289449
36.000000,-3.222081
38.000000,-3.573289
40.000000,-4.175005
42.000000,-4.719741
44.000000,-5.136468
46.000000,-5.446582
48.000000,-5.549279
50.000000,-5.453163
52.000000,-5.460869
54.000000,-5.922996
56.000000,-6.977313
58.000000,-8.451991
60.000000,-9.736408
62.000000,-10.164592
64.000000,-9.997806
66.000000,-9.978091
68.000000,-10.463790
70.000000,-11.404179
72.000000,-12.527536
74.000000,-13.450837
76.000000,-13.951698
78.000000,-14.162901
80.000000,-14.429391
82.000000,-14.975115
84.000000,-15.840280
86.000000,-16.970980
88.000000,-18.220885
90.000000,-19.211872
