theta (deg),gain (dBi)
0.000000,12.980000
2.000000,12.832797
4.000000,12.681605
6.000000,13.105355
8.000000,14.025273
10.000000,14.782399
12.000000,14.898822
14.000000,14.181614
16.000000,12.541219
18.000000,9.898413
20.000000,6.143817
22.000000,1.357863
24.000000,-2.546764
26.000000,-2.850041
28.000000,-2.519453
30.000000,-2.865550
32.000000,-3.240690
34.000000,-3.259763
36.000000,-3.381011
38.000000,-3.919631
40.000000,-4.647522
42.000000,-5.187032
44.000000,-5.492469
46.000000,-5.652618
48.000000,-5.620230
50.000000,-5.438949
52.000000,-5.408211
54.000000,-5.851327
56.000000,-6.913245
58.000000,-8.440460
60.000000,-9.818428
62.000000,-10.309603
64.000000,-10.139846
66.000000,-10.094268
68.000000,-10.559213
70.000000,-11.494577
72.000000,-12.595544
74.000000,-13.479870
76.000000,-13.995679
78.000000,-14.309213
80.000000,-14.668905
82.000000,-15.251509
84.000000,-16.130023
86.000000,-17.285832
88.000000,-18.544591
90.000000,-19.522027
