theta (deg),gain (dBi)
0.000000,14.010000
2.000000,13.857004
4.000000,13.493514
6.000000,13.182378
8.000000,13.191082
10.000000,13.503480
12.000000,13.833214
14.000000,13.877392
16.000000,13.439807
18.000000,12.407027
20.000000,10.698727
22.000000,8.242756
24.000000,5.009779
26.000000,1.195913
28.000000,-2.237425
30.000000,-3.997438
32.000000,-4.757583
34.000000,-5.688826
36.000000,-7.058979
38.000000,-8.783157
40.000000,-10.697877
42.000000,-12.371752
44.000000,-12.889805
46.000000,-12.021219
48.000000,-10.745687
50.000000,-9.781225
52.000000,-9.324437
54.000000,-9.371345
56.000000,-9.809283
58.000000,-10.357618
60.000000,-10.544622
62.000000,-10.084899
64.000000,-9.226834
66.000000,-8.379727
68.000000,-7.771459
70.000000,-7.491449
72.000000,-7.561309
74.000000,-7.982409
76.000000,-8.740559
78.000000,-9.796589
80.000000,-11.078510
82.000000,-12.429788
84.000000,-13.607471
86.000000,-14.345247
88.000000,-14.530280
90.000000,-14.293313
