theta (deg),directivity (dB)
0.000000,14.840000
2.000000,14.697778
4.000000,14.366389
6.000000,14.071944
8.000000,14.058056
10.000000,14.331389
12.000000,14.633056
14.000000,14.666111
16.000000,14.230833
18.000000,13.209444
20.000000,11.520833
22.000000,9.091667
24.000000,5.875000
26.000000,2.007222
28.000000,-1.612500
30.000000,-3.776389
32.000000,-5.280833
34.000000,-7.266944
36.000000,-10.056667
38.000000,-12.046944
40.000000,-12.360556
42.000000,-13.511111
44.000000,-13.539722
46.000000,-12.368611
48.000000,-11.306944
50.000000,-10.763056
52.000000,-10.657778
54.000000,-10.852500
56.000000,-11.318056
58.000000,-11.746389
60.000000,-12.045833
62.000000,-12.227500
64.000000,-10.711389
66.000000,-9.428889
68.000000,-8.864722
70.000000,-8.735278
72.000000,-8.945556
74.000000,-9.565833
76.000000,-10.698889
78.000000,-12.147778
80.000000,-13.869167
82.000000,-15.733333
84.000000,-15.802500
86.000000,-15.461944
88.000000,-15.322500
90.000000,-15.536667
