theta (deg),directivity (dB)
0.000000,12.550000
2.000000,12.846111
4.000000,13.676111
6.000000,14.769167
8.000000,15.701389
10.000000,16.117222
12.000000,15.786944
14.000000,14.532778
16.000000,12.136111
18.000000,8.152500
20.000000,1.139444
22.000000,-8.634444
24.000000,-3.189167
26.000000,-0.096667
28.000000,0.636111
30.000000,0.196667
32.000000,-0.273889
34.000000,-0.638611
36.000000,-1.233889
38.000000,-2.072222
40.000000,-3.106389
42.000000,-4.106389
44.000000,-5.317222
46.000000,-3.757222
48.000000,-2.219167
50.000000,-1.493333
52.000000,-1.468333
54.000000,-2.140833
56.000000,-3.413611
58.000000,-4.811111
60.000000,-5.393750
62.000000,-5.892222
64.000000,-6.448889
66.000000,-7.362778
68.000000,-8.206944
70.000000,-9.427500
72.000000,-11.043056
74.000000,-12.835833
76.000000,-14.150833
78.000000,-14.690833
80.000000,-16.295278
82.000000,-17.625833
84.000000,-17.045556
86.000000,-16.363056
88.000000,-16.479722
90.000000,-17.114444
