theta (deg),directivity (dB)
0.000000,13.720000
2.000000,13.602741
4.000000,13.289117
6.000000,12.901501
8.000000,12.568976
10.000000,12.351969
12.000000,12.177274
14.000000,11.905038
16.000000,11.389995
18.000000,10.509657
20.000000,9.156977
22.000000,7.214805
24.000000,4.533718
26.000000,0.909327
28.000000,-3.795190
30.000000,-7.897337
32.000000,-7.074643
34.000000,-4.955611
36.000000,-3.626601
38.000000,-2.857700
40.000000,-2.329794
42.000000,-1.886812
44.000000,-1.513020
46.000000,-1.261962
48.000000,-1.190593
50.000000,-1.325900
52.000000,-1.647570
54.000000,-2.115176
56.000000,-2.678755
58.000000,-3.292706
60.000000,-3.900643
62.000000,-4.452186
64.000000,-4.940940
66.000000,-5.421787
68.000000,-5.946090
70.000000,-6.485797
72.000000,-6.950393
74.000000,-7.303557
76.000000,-7.634322
78.000000,-8.037468
80.000000,-8.494111
82.000000,-8.957369
84.000000,-9.457323
86.000000,-10.078396
88.000000,-10.842228
90.000000,-11.638442
