theta (deg),directivity (dB)
0.000000,14.230000
2.000000,14.079814
4.000000,13.715042
6.000000,13.381208
8.000000,13.332908
10.000000,13.579287
12.000000,13.852746
14.000000,13.855613
16.000000,13.388921
18.000000,12.336497
20.000000,10.618758
22.000000,8.171434
24.000000,4.971562
26.000000,1.223779
28.000000,-2.155780
30.000000,-3.975070
32.000000,-4.841115
34.000000,-5.861074
36.000000,-7.306862
38.000000,-9.073103
40.000000,-10.968039
42.000000,-12.562340
44.000000,-13.006712
46.000000,-12.095371
48.000000,-10.779197
50.000000,-9.790054
52.000000,-9.340511
54.000000,-9.401107
56.000000,-9.830115
58.000000,-10.325539
60.000000,-10.458991
62.000000,-10.023547
64.000000,-9.263620
66.000000,-8.536548
68.000000,-8.036145
70.000000,-7.837356
72.000000,-7.966598
74.000000,-8.432998
76.000000,-9.219126
78.000000,-10.279680
80.000000,-11.529520
82.000000,-12.800662
84.000000,-13.812341
86.000000,-14.332437
88.000000,-14.385765
90.000000,-14.188518
