theta (deg),directivity (dB)
0.000000,14.560000
2.000000,14.439167
4.000000,14.134444
6.000000,13.767778
8.000000,13.473056
10.000000,13.297222
12.000000,13.165833
14.000000,12.938056
16.000000,12.465000
18.000000,11.618611
20.000000,10.278889
22.000000,8.313889
24.000000,5.528056
26.000000,1.536111
28.000000,-4.673333
30.000000,-10.966111
32.000000,-8.059444
34.000000,-5.196389
36.000000,-3.880278
38.000000,-3.586667
40.000000,-2.478611
42.000000,-1.625833
44.000000,-1.074167
46.000000,-0.797778
48.000000,-0.735000
50.000000,-0.971944
52.000000,-1.594167
54.000000,-2.590000
56.000000,-3.238889
58.000000,-3.717222
60.000000,-4.286389
62.000000,-4.887500
64.000000,-5.443611
66.000000,-6.030000
68.000000,-6.584167
70.000000,-6.803889
72.000000,-7.070000
74.000000,-7.480000
76.000000,-8.041389
78.000000,-8.708056
80.000000,-9.467361
82.000000,-10.636389
84.000000,-11.613333
86.000000,-11.785278
88.000000,-12.100556
90.000000,-12.762500
