theta (deg),gain (dBi)
0.000000,13.380000
2.000000,13.255133
4.000000,12.949155
6.000000,12.605003
8.000000,12.357227
10.000000,12.229723
12.000000,12.115817
14.000000,11.863718
16.000000,11.338264
18.000000,10.435190
20.000000,9.055480
22.000000,7.083835
24.000000,4.363454
26.000000,0.673245
28.000000,-4.076934
30.000000,-7.658762
32.000000,-6.279329
34.000000,-4.200046
36.000000,-2.984008
38.000000,-2.364222
40.000000,-2.020126
42.000000,-1.752405
44.000000,-1.494263
46.000000,-1.302787
48.000000,-1.269873
50.000000,-1.468278
52.000000,-1.896914
54.000000,-2.483241
56.000000,-3.117640
58.000000,-3.715144
60.000000,-4.249657
62.000000,-4.723365
64.000000,-5.146360
66.000000,-5.546692
68.000000,-5.961320
70.000000,-6.371160
72.000000,-6.694220
74.000000,-6.887451
76.000000,-7.061692
78.000000,-7.364936
80.000000,-7.821917
82.000000,-8.346598
84.000000,-8.890980
86.000000,-9.560573
88.000000,-10.414145
90.000000,-11.269683
