theta (deg),gain (dBi)
0.000000,12.030000
2.000000,12.282144
4.000000,12.992759
6.000000,13.961132
8.000000,14.802931
10.000000,15.167769
12.000000,14.811152
14.000000,13.551103
16.000000,11.164295
18.000000,7.238918
20.000000,0.675836
22.000000,-8.503440
24.000000,-2.454625
26.000000,0.644702
28.000000,1.562661
30.000000,1.488746
32.000000,0.926552
34.000000,0.106735
36.000000,-0.901992
38.000000,-2.078262
40.000000,-3.328854
42.000000,-4.346307
44.000000,-4.602474
46.000000,-3.855591
48.000000,-2.601920
50.000000,-1.483932
52.000000,-0.821890
54.000000,-0.686900
56.000000,-1.019393
58.000000,-1.698476
60.000000,-2.616688
62.000000,-3.715020
64.000000,-4.934304
66.000000,-6.125470
68.000000,-7.117031
70.000000,-7.959134
72.000000,-8.887028
74.000000,-10.063204
76.000000,-11.452294
78.000000,-12.951876
80.000000,-14.505545
82.000000,-15.771009
84.000000,-16.078880
86.000000,-15.632902
88.000000,-15.386275
90.000000,-15.714199
