theta (deg),gain (dBi)
0.000000,13.910000
2.000000,13.720917
4.000000,13.423337
6.000000,13.566936
8.000000,14.231919
10.000000,14.847267
12.000000,14.899773
14.000000,14.152439
16.000000,12.500314
18.000000,9.862388
20.000000,6.153874
22.000000,1.548509
24.000000,-2.002893
26.000000,-2.378412
28.000000,-2.274231
30.000000,-2.787834
32.000000,-3.245856
34.000000,-3.247339
36.000000,-3.292865
38.000000,-3.737371
40.000000,-4.385239
42.000000,-4.920101
44.000000,-5.302843
46.000000,-5.569732
48.000000,-5.598364
50.000000,-5.414732
52.000000,-5.383829
54.000000,-5.875845
56.000000,-7.040615
58.000000,-8.689483
60.000000,-10.120966
62.000000,-10.500011
64.000000,-10.156249
66.000000,-9.991851
68.000000,-10.407159
70.000000,-11.353336
72.000000,-12.539644
74.000000,-13.559024
76.000000,-14.159495
78.000000,-14.454480
80.000000,-14.739041
82.000000,-15.229836
84.000000,-16.013848
86.000000,-17.094313
88.000000,-18.322749
90.000000,-19.313619
