theta (deg),directivity (dB)
0.000000,14.650000
2.000000,14.503056
4.000000,14.165278
6.000000,13.892500
8.000000,13.941111
10.000000,14.287500
12.000000,14.643611
14.000000,14.706111
16.000000,14.280278
18.000000,13.259167
20.000000,11.556111
22.000000,9.100278
24.000000,5.850833
26.000000,1.973056
28.000000,-1.588611
30.000000,-3.561667
32.000000,-4.800278
34.000000,-6.535833
36.000000,-9.148889
38.000000,-11.003889
40.000000,-11.585556
42.000000,-12.708889
44.000000,-13.237222
46.000000,-12.340833
48.000000,-11.120000
50.000000,-10.685833
52.000000,-10.880278
54.000000,-11.531111
56.000000,-11.682500
58.000000,-11.498611
60.000000,-12.203889
62.000000,-11.731667
64.000000,-10.543333
66.000000,-9.190000
68.000000,-8.742500
70.000000,-8.907500
72.000000,-9.180278
74.000000,-9.872778
76.000000,-10.394722
78.000000,-11.681111
80.000000,-13.831389
82.000000,-14.643333
84.000000,-15.306111
86.000000,-15.794028
88.000000,-16.259444
90.000000,-15.660833
