theta (deg),gain (dBi)
0.000000,13.630000
2.000000,13.485882
4.000000,13.172222
6.000000,12.965281
8.000000,13.115890
10.000000,13.555324
12.000000,13.968056
14.000000,14.062949
16.000000,13.663142
18.000000,12.661653
20.000000,10.975115
22.000000,8.522804
24.000000,5.229337
26.000000,1.188912
28.000000,-2.696180
30.000000,-4.623674
32.000000,-5.197370
34.000000,-6.043246
36.000000,-7.528785
38.000000,-9.462320
40.000000,-11.445251
42.000000,-12.810763
44.000000,-12.846544
46.000000,-11.788858
48.000000,-10.532852
50.000000,-9.601008
52.000000,-9.137864
54.000000,-9.135632
56.000000,-9.510420
58.000000,-10.042906
60.000000,-10.347647
62.000000,-10.104586
64.000000,-9.416580
66.000000,-8.640651
68.000000,-8.053000
70.000000,-7.775745
72.000000,-7.849415
74.000000,-8.267421
76.000000,-8.997626
78.000000,-9.996588
80.000000,-11.187633
82.000000,-12.419446
84.000000,-13.461135
86.000000,-14.124161
88.000000,-14.374262
90.000000,-14.323502
