theta (deg),gain (dBi)
0.000000,13.940000
2.000000,13.809390
4.000000,13.465021
6.000000,13.029772
8.000000,12.656979
10.000000,12.408817
12.000000,12.222497
14.000000,11.940399
16.000000,11.409034
18.000000,10.500000
20.000000,9.106116
22.000000,7.113347
24.000000,4.368472
26.000000,0.651205
28.000000,-4.188450
30.000000,-7.931260
32.000000,-6.342743
34.000000,-4.086860
36.000000,-2.793250
38.000000,-2.156650
40.000000,-1.841805
42.000000,-1.644342
44.000000,-1.491468
46.000000,-1.401724
48.000000,-1.428280
50.000000,-1.627990
52.000000,-2.003723
54.000000,-2.508068
56.000000,-3.049839
58.000000,-3.558665
60.000000,-4.026116
62.000000,-4.472269
64.000000,-4.925245
66.000000,-5.383395
68.000000,-5.831654
70.000000,-6.260005
72.000000,-6.638953
74.000000,-6.937653
76.000000,-7.178308
78.000000,-7.456256
80.000000,-7.861800
82.000000,-8.407200
84.000000,-9.014976
86.000000,-9.643778
88.000000,-10.337934
90.000000,-11.109129
