theta (deg),gain (dBi)
0.000000,13.520000
2.000000,13.344203
4.000000,13.115170
6.000000,13.394984
8.000000,14.196257
10.000000,14.896208
12.000000,14.987558
14.000000,14.243885
16.000000,12.569879
18.000000,9.877745
20.000000,6.058263
22.000000,1.252911
24.000000,-2.405935
26.000000,-2.542332
28.000000,-2.302854
30.000000,-2.749933
32.000000,-3.143050
34.000000,-3.093952
36.000000,-3.111491
38.000000,-3.520708
40.000000,-4.130732
42.000000,-4.674086
44.000000,-5.127470
46.000000,-5.488880
48.000000,-5.617295
50.000000,-5.541233
52.000000,-5.607073
54.000000,-6.175281
56.000000,-7.366447
58.000000,-8.968219
60.000000,-10.251078
62.000000,-10.527867
64.000000,-10.196474
66.000000,-10.075646
68.000000,-10.524663
70.000000,-11.504874
72.000000,-12.727482
74.000000,-13.799968
76.000000,-14.441796
78.000000,-14.727664
80.000000,-14.980884
82.000000,-15.466915
84.000000,-16.261464
86.000000,-17.331282
88.000000,-18.545802
90.000000,-19.566336
