theta (deg),gain (dBi)
0.000000,14.060000
2.000000,13.914776
4.000000,13.564923
6.000000,13.255268
8.000000,13.242586
10.000000,13.525947
12.000000,13.836620
14.000000,13.869387
16.000000,13.431736
18.000000,12.413061
20.000000,10.732695
22.000000,8.319347
24.000000,5.125368
26.000000,1.301357
28.000000,-2.274556
30.000000,-4.229744
32.000000,-5.102433
34.000000,-6.142885
36.000000,-7.638742
38.000000,-9.447692
40.000000,-11.329731
42.000000,-12.766648
44.000000,-12.973106
46.000000,-12.004879
48.000000,-10.771673
50.000000,-9.850282
52.000000,-9.404780
54.000000,-9.431727
56.000000,-9.831143
58.000000,-10.346920
60.000000,-10.561790
62.000000,-10.209912
64.000000,-9.487731
66.000000,-8.757902
68.000000,-8.230699
70.000000,-7.985465
72.000000,-8.057379
74.000000,-8.465518
76.000000,-9.214223
78.000000,-10.273680
80.000000,-11.556267
82.000000,-12.879641
84.000000,-13.952125
86.000000,-14.528586
88.000000,-14.625456
90.000000,-14.451472
