theta (deg),directivity (dB)
0.000000,14.200000
2.000000,14.057238
4.000000,13.704816
6.000000,13.382378
8.000000,13.331650
10.000000,13.570071
12.000000,13.838349
14.000000,13.849280
16.000000,13.396339
18.000000,12.358813
20.000000,10.648660
22.000000,8.194156
24.000000,4.970507
26.000000,1.189440
28.000000,-2.180869
30.000000,-3.910949
32.000000,-4.695719
34.000000,-5.650820
36.000000,-7.034260
38.000000,-8.763210
40.000000,-10.674673
42.000000,-12.336894
44.000000,-12.867075
46.000000,-12.020773
48.000000,-10.739024
50.000000,-9.753195
52.000000,-9.287046
54.000000,-9.341261
56.000000,-9.794249
58.000000,-10.346372
60.000000,-10.531448
62.000000,-10.096171
64.000000,-9.296260
66.000000,-8.526194
68.000000,-7.997456
70.000000,-7.793371
72.000000,-7.930745
74.000000,-8.410639
76.000000,-9.215926
78.000000,-10.319522
80.000000,-11.638112
82.000000,-12.977970
84.000000,-14.017943
86.000000,-14.540053
88.000000,-14.610104
90.000000,-14.419879
