theta (deg),directivity (dB)
0.000000,11.430000
2.000000,11.701111
4.000000,12.479630
6.000000,13.531505
8.000000,14.455469
10.000000,14.892995
12.000000,14.598674
14.000000,13.382628
16.000000,11.019359
18.000000,7.081146
20.000000,0.438963
22.000000,-8.613499
24.000000,-2.489460
26.000000,0.493284
28.000000,1.335450
30.000000,1.210418
32.000000,0.608630
34.000000,-0.246834
36.000000,-1.279997
38.000000,-2.466990
40.000000,-3.676655
42.000000,-4.576915
44.000000,-4.647547
46.000000,-3.686228
48.000000,-2.251354
50.000000,-1.018154
52.000000,-0.298873
54.000000,-0.139317
56.000000,-0.473140
58.000000,-1.194082
60.000000,-2.194143
62.000000,-3.370360
64.000000,-4.633034
66.000000,-5.899018
68.000000,-7.056680
70.000000,-8.052713
72.000000,-8.971809
74.000000,-9.970827
76.000000,-11.135170
78.000000,-12.329681
80.000000,-13.214149
82.000000,-13.634798
84.000000,-13.859033
86.000000,-14.101650
88.000000,-14.190409
90.000000,-14.039399
