theta (deg),gain (dBi)
0.000000,13.670000
2.000000,13.529951
4.000000,13.175916
6.000000,12.751854
8.000000,12.416015
10.000000,12.221731
12.000000,12.077997
14.000000,11.826492
16.000000,11.315015
18.000000,10.420545
20.000000,9.033091
22.000000,7.036073
24.000000,4.280975
26.000000,0.540650
28.000000,-4.320187
30.000000,-7.998966
32.000000,-6.355916
34.000000,-4.139905
36.000000,-2.905871
38.000000,-2.342988
40.000000,-2.100658
42.000000,-1.935191
44.000000,-1.757238
46.000000,-1.618263
48.000000,-1.606709
50.000000,-1.764822
52.000000,-2.076685
54.000000,-2.495415
56.000000,-2.974987
58.000000,-3.481071
60.000000,-3.998944
62.000000,-4.515023
64.000000,-4.997500
66.000000,-5.444191
68.000000,-5.881148
70.000000,-6.313366
72.000000,-6.681240
74.000000,-6.933377
76.000000,-7.134411
78.000000,-7.409585
80.000000,-7.812783
82.000000,-8.302306
84.000000,-8.856700
86.000000,-9.569421
88.000000,-10.514329
90.000000,-11.514825
