theta (deg),gain (dBi)
0.000000,13.630000
2.000000,13.444169
4.000000,13.162435
6.000000,13.364270
8.000000,14.112988
10.000000,14.806240
12.000000,14.919410
14.000000,14.218926
16.000000,12.593177
18.000000,9.953353
20.000000,6.203152
22.000000,1.507863
24.000000,-2.094505
26.000000,-2.379017
28.000000,-2.203995
30.000000,-2.672105
32.000000,-3.121345
34.000000,-3.147842
36.000000,-3.234665
38.000000,-3.766566
40.000000,-4.542451
42.000000,-5.144203
44.000000,-5.472982
46.000000,-5.628075
48.000000,-5.572277
50.000000,-5.350706
52.000000,-5.267548
54.000000,-5.668981
56.000000,-6.704539
58.000000,-8.225785
60.000000,-9.598560
62.000000,-10.074449
64.000000,-9.883430
66.000000,-9.828244
68.000000,-10.308870
70.000000,-11.294407
72.000000,-12.483958
74.000000,-13.454756
76.000000,-13.991683
78.000000,-14.291111
80.000000,-14.649728
82.000000,-15.231652
84.000000,-16.074840
86.000000,-17.165657
88.000000,-18.389724
90.000000,-19.408071
