theta (deg),directivity (dB)
0.000000,12.750000
2.000000,12.983056
4.000000,13.688889
6.000000,14.694722
8.000000,15.605833
10.000000,16.035833
12.000000,15.720556
14.000000,14.469722
16.000000,12.049444
18.000000,7.993056
20.000000,0.639167
22.000000,-8.333889
24.000000,-3.061389
26.000000,0.084028
28.000000,0.883611
30.000000,0.101944
32.000000,0.034444
34.000000,-0.458333
36.000000,-1.176111
38.000000,-1.960278
40.000000,-2.850556
42.000000,-3.736667
44.000000,-4.908889
46.000000,-3.476667
48.000000,-1.928056
50.000000,-1.200000
52.000000,-1.185833
54.000000,-1.896111
56.000000,-3.508611
58.000000,-4.248333
60.000000,-4.719722
62.000000,-4.846806
64.000000,-5.871111
66.000000,-6.925000
68.000000,-8.165833
70.000000,-9.781111
72.000000,-11.003889
74.000000,-12.403056
76.000000,-13.536944
78.000000,-14.549722
80.000000,-16.751944
82.000000,-17.592639
84.000000,-16.861667
86.000000,-16.323056
88.000000,-16.821667
90.000000,-16.532778
