theta (deg),gain (dBi)
0.000000,13.530000
2.000000,13.342600
4.000000,13.070420
6.000000,13.291746
8.000000,14.056661
10.000000,14.745211
12.000000,14.840238
14.000000,14.110167
16.000000,12.453007
18.000000,9.786491
20.000000,6.018297
22.000000,1.318889
24.000000,-2.254284
26.000000,-2.454395
28.000000,-2.213290
30.000000,-2.674119
32.000000,-3.181720
34.000000,-3.249644
36.000000,-3.320083
38.000000,-3.789375
40.000000,-4.487657
42.000000,-5.054465
44.000000,-5.422666
46.000000,-5.643390
48.000000,-5.630305
50.000000,-5.440663
52.000000,-5.406589
54.000000,-5.872474
56.000000,-6.976055
58.000000,-8.549745
60.000000,-9.957710
62.000000,-10.428026
64.000000,-10.218250
66.000000,-10.152758
68.000000,-10.619548
70.000000,-11.572118
72.000000,-12.714774
74.000000,-13.651580
76.000000,-14.174273
78.000000,-14.449093
80.000000,-14.795272
82.000000,-15.410911
84.000000,-16.320468
86.000000,-17.453304
88.000000,-18.646947
90.000000,-19.543582
