theta (deg),gain (dBi)
0.000000,11.730000
2.000000,12.001111
4.000000,12.779630
6.000000,13.831505
8.000000,14.755469
10.000000,15.192995
12.000000,14.898674
14.000000,13.682628
16.000000,11.319359
18.000000,7.381146
20.000000,0.738963
22.000000,-8.313499
24.000000,-2.189460
26.000000,0.793284
28.000000,1.635450
30.000000,1.510418
32.000000,0.908630
34.000000,0.053166
36.000000,-0.979997
38.000000,-2.166990
40.000000,-3.376655
42.000000,-4.276915
44.000000,-4.347547
46.000000,-3.386228
48.000000,-1.951354
50.000000,-0.718154
52.000000,0.001127
54.000000,0.160683
56.000000,-0.173140
58.000000,-0.894082
60.000000,-1.894143
62.000000,-3.070360
64.000000,-4.333034
66.000000,-5.599018
68.000000,-6.756680
70.000000,-7.752713
72.000000,-8.671809
74.000000,-9.670827
76.000000,-10.835170
78.000000,-12.029681
80.000000,-12.914149
82.000000,-13.334798
84.000000,-13.559033
86.000000,-13.801650
88.000000,-13.890409
90.000000,-13.739399
