theta (deg),directivity (dB)
0.000000,13.950000
2.000000,13.804096
4.000000,13.470331
6.000000,13.191809
8.000000,13.218534
10.000000,13.529769
12.000000,13.849215
14.000000,13.879037
16.000000,13.435368
18.000000,12.405033
20.000000,10.709078
22.000000,8.272027
24.000000,5.053057
26.000000,1.231632
28.000000,-2.237189
30.000000,-3.982444
32.000000,-4.692126
34.000000,-5.610335
36.000000,-7.028715
38.000000,-8.836408
40.000000,-10.788173
42.000000,-12.359324
44.000000,-12.764994
46.000000,-11.953143
48.000000,-10.769412
50.000000,-9.846366
52.000000,-9.390518
54.000000,-9.414488
56.000000,-9.817771
58.000000,-10.332858
60.000000,-10.518421
62.000000,-10.108394
64.000000,-9.326717
66.000000,-8.558046
68.000000,-8.013290
70.000000,-7.764847
72.000000,-7.832119
74.000000,-8.227380
76.000000,-8.952295
78.000000,-9.982830
80.000000,-11.231455
82.000000,-12.527036
84.000000,-13.586634
86.000000,-14.173793
88.000000,-14.292605
90.000000,-14.154462
