theta (deg),gain (dBi)
0.000000,13.820000
2.000000,13.688164
4.000000,13.389005
6.000000,13.167552
8.000000,13.255866
10.000000,13.615831
12.000000,13.963083
14.000000,14.012919
16.000000,13.581941
18.000000,12.566460
20.000000,10.886715
22.000000,8.479252
24.000000,5.301389
26.000000,1.503216
28.000000,-2.066758
30.000000,-4.053132
32.000000,-4.905649
34.000000,-5.848283
36.000000,-7.225220
38.000000,-8.969607
40.000000,-10.915710
42.000000,-12.610754
44.000000,-13.155983
46.000000,-12.331712
48.000000,-11.067258
50.000000,-10.081928
52.000000,-9.601341
54.000000,-9.621458
56.000000,-10.005227
58.000000,-10.463886
60.000000,-10.577557
62.000000,-10.137144
64.000000,-9.366513
66.000000,-8.616154
68.000000,-8.092945
70.000000,-7.872794
72.000000,-7.977712
74.000000,-8.411989
76.000000,-9.168271
78.000000,-10.221347
80.000000,-11.492301
82.000000,-12.787566
84.000000,-13.808127
86.000000,-14.335016
88.000000,-14.403855
90.000000,-14.212599
