theta (deg),directivity (dB)
0.000000,13.270000
2.000000,13.139647
4.000000,13.043014
6.000000,13.489745
8.000000,14.378444
10.000000,15.079846
12.000000,15.140936
14.000000,14.362438
16.000000,12.646536
18.000000,9.904473
20.000000,6.020202
22.000000,1.154504
24.000000,-2.492113
26.000000,-2.662893
28.000000,-2.486944
30.000000,-2.958125
32.000000,-3.319912
34.000000,-3.214182
36.000000,-3.179664
38.000000,-3.565620
40.000000,-4.167178
42.000000,-4.670351
44.000000,-5.045437
46.000000,-5.331076
48.000000,-5.391515
50.000000,-5.244017
52.000000,-5.241588
54.000000,-5.766103
56.000000,-6.997478
58.000000,-8.770017
60.000000,-10.286744
62.000000,-10.520484
64.000000,-9.967589
66.000000,-9.705683
68.000000,-10.116548
70.000000,-11.144386
72.000000,-12.499590
74.000000,-13.704594
76.000000,-14.380492
78.000000,-14.642241
80.000000,-14.924719
82.000000,-15.493614
84.000000,-16.401392
86.000000,-17.619468
88.000000,-19.029180
90.000000,-20.193405
