theta (deg),gain (dBi)
0.000000,11.710000
2.000000,11.989822
4.000000,12.768468
6.000000,13.804545
8.000000,14.701219
10.000000,15.107405
12.000000,14.783027
14.000000,13.541086
16.000000,11.157577
18.000000,7.220118
20.000000,0.630860
22.000000,-8.689357
24.000000,-2.570972
26.000000,0.583803
28.000000,1.567029
30.000000,1.543521
32.000000,0.981127
34.000000,0.108538
36.000000,-0.969455
38.000000,-2.190086
40.000000,-3.431862
42.000000,-4.382162
44.000000,-4.496835
46.000000,-3.585946
48.000000,-2.244814
50.000000,-1.089800
52.000000,-0.388367
54.000000,-0.203971
56.000000,-0.517804
58.000000,-1.259212
60.000000,-2.306662
62.000000,-3.519415
64.000000,-4.781774
66.000000,-5.977502
68.000000,-7.013330
70.000000,-7.917418
72.000000,-8.864874
74.000000,-9.999302
76.000000,-11.297786
78.000000,-12.599238
80.000000,-13.749685
82.000000,-14.532036
84.000000,-14.613178
86.000000,-14.176341
88.000000,-13.906632
90.000000,-14.135084
