theta (deg),directivity (dB)
0.000000,13.750000
2.000000,13.617022
4.000000,13.265702
6.000000,12.836989
8.000000,12.483978
10.000000,12.262115
12.000000,12.091560
14.000000,11.821536
16.000000,11.302592
18.000000,10.418705
20.000000,9.062816
22.000000,7.113057
24.000000,4.407546
26.000000,0.711732
28.000000,-4.158469
30.000000,-8.114116
32.000000,-6.607479
34.000000,-4.319206
36.000000,-3.012180
38.000000,-2.384653
40.000000,-2.095814
42.000000,-1.919272
44.000000,-1.748004
46.000000,-1.603009
48.000000,-1.562253
50.000000,-1.695543
52.000000,-2.005934
54.000000,-2.445284
56.000000,-2.944275
58.000000,-3.459541
60.000000,-3.997618
62.000000,-4.562560
64.000000,-5.138860
66.000000,-5.692941
68.000000,-6.209483
70.000000,-6.686900
72.000000,-7.111288
74.000000,-7.435278
76.000000,-7.676704
78.000000,-7.951072
80.000000,-8.337754
82.000000,-8.802431
84.000000,-9.279421
86.000000,-9.820554
88.000000,-10.552264
90.000000,-11.451315
